All Items,138.5,130.1,130,141.5,141.1,132.8,143.3
Food and Non-Alcoholic Beverages,150.6,138.4,145.9,157.2,148.8,140.9,153.7
Alcoholic Beverages & Tobacco,187.1,194.8,186.5,190.4,175.6,91,169.4
Clothing and Footwear,128.5,139.7,115.6,123.7,144.9,18.9,144.2
"Housing, Water, Electricity, Gas and Other Fuels",131.1,112,105,143.9,131.2,110.3,129.7
"Furnishing, Household Equipment and Routine Maintenance of the House",127.5,121.8,113.4,131.5,116.9,132.3,133.5
Health,129.4,119.3,109.7,135.5,113.9,125.7,131.5
Transport,129.6,148.4,114.7,127.3,131.9,142.4,122.1
Communication,83.1,111.3,77.7,79.9,99.1,77.9,86.4
Recreation and Culture,107.3,107.4,115.6,104.5,106.3,113.7,110.4
Education,147.4,143.8,140.9,3138.3,155.8,157.3,175.5
Restaurants and Miscellaneous Goods and Services,126.6,114.8,132.3,124.9,145.2,127.6,132.8
