Bread and Cereals,150.9,151.0,145.8,145.1,3.5,4.1
Rice,146.7,146.8,141.2,140.6,3.9,4.4
Corn,156.9,157.2,155.2,152.1,1.1,3.4
Other Cereals,165.1,165.1,165.5,160.4,2.2,2.9
Meat,134.1,134.3,131.1,130.9,2.3,2.6
Fish,162.6,162.5,156.1,157.1,4.2,3.4
"Milk, Cheese and Eggs",134.0,133.5,131.6,131.6,1.8,1.4
Oils and Fats,178.4,178.1,176.9,176.7,0.8,0.8
Fruits,190.1,190.0,166.1,170.6,14.4,11.4
Vegetables,158.0,162.5,162.3,169.3,-2.6,-4.0
"Sugar, Jam, Honey, Chocolate and Confectionary",132.8,133.2,129.6,129.5,2.5,2.9
"Food Products, N.E.C",169.8,170.3,158.5,155.5,7.1,9.5
